# beta(deg),gamma(deg)
126.912,218.400
66.458,218.578
95.773,218.756
25.919,218.933
155.935,219.111
85.014,219.289
114.399,219.467
54.062,219.644
131.536,219.822
70.311,220.000
99.386,220.178
33.184,220.356
142.007,220.533
77.765,220.711
106.743,220.889
44.609,221.067
122.553,221.244
62.489,221.422
92.183,221.600
15.864,221.778
160.793,221.956
86.809,222.133
116.381,222.311
56.244,222.489
133.974,222.667
72.202,222.844
101.206,223.022
36.326,223.200
145.018,223.378
79.592,223.556
108.623,223.733
47.104,223.911
124.704,224.089
64.490,224.267
93.976,224.444
21.461,224.622
151.865,224.800
83.214,224.978
112.447,225.156
51.818,225.333
129.186,225.511
68.398,225.689
97.576,225.867
29.754,226.044
139.186,226.222
75.927,226.400
104.882,226.578
41.998,226.756
120.453,226.933
60.451,227.111
90.392,227.289
6.703,227.467
174.336,227.644
89.720,227.822
119.677,228.000
59.676,228.178
138.169,228.356
75.233,228.533
104.189,228.711
40.985,228.889
150.472,229.067
82.537,229.244
111.723,229.422
50.959,229.600
128.325,229.778
67.674,229.956
96.899,230.133
28.372,230.311
158.847,230.489
86.136,230.667
115.634,230.844
55.432,231.022
133.048,231.200
71.495,231.378
100.522,231.556
35.176,231.733
143.864,231.911
78.908,232.089
107.916,232.267
46.181,232.444
123.891,232.622
63.744,232.800
93.303,232.978
19.544,233.156
164.551,233.333
87.929,233.511
117.637,233.689
57.579,233.867
135.550,234.044
73.373,234.222
102.349,234.400
38.174,234.578
147.021,234.756
80.727,234.933
109.808,235.111
48.614,235.289
126.077,235.467
65.724,235.644
95.098,235.822
24.338,236.000
154.338,236.178
84.340,236.356
113.664,236.533
53.228,236.711
130.645,236.889
69.596,237.067
98.706,237.244
31.937,237.422
140.929,237.600
77.078,237.778
106.044,237.956
43.645,238.133
121.760,238.311
61.730,238.489
91.511,238.667
13.186,238.844
168.376,239.022
88.825,239.200
118.652,239.378
58.634,239.556
136.844,239.733
74.306,239.911
103.267,240.089
39.600,240.267
148.704,240.444
81.633,240.622
110.762,240.800
49.796,240.978
127.192,241.156
66.702,241.333
95.998,241.511
26.426,241.689
156.490,241.867
85.239,242.044
114.645,242.222
54.338,242.400
131.835,242.578
70.549,242.756
99.613,242.933
33.591,243.111
142.372,243.289
77.994,243.467
106.977,243.644
44.927,243.822
122.819,244.000
62.741,244.178
92.407,244.356
16.663,244.533
161.485,244.711
87.033,244.889
116.631,245.067
56.512,245.244
134.286,245.422
72.437,245.600
101.434,245.778
36.702,245.956
145.411,246.133
79.819,246.311
108.859,246.489
47.409,246.667
124.977,246.844
64.738,247.022
94.200,247.200
22.065,247.378
152.343,247.556
83.439,247.733
112.690,247.911
52.102,248.089
129.475,248.267
68.638,248.444
97.802,248.622
30.202,248.800
139.530,248.978
76.157,249.156
105.114,249.333
42.332,249.511
120.713,249.689
60.708,249.867
90.615,250.044
8.406,250.222
170.861,250.400
89.273,250.578
119.164,250.756
59.156,250.933
137.502,251.111
74.770,251.289
103.728,251.467
40.298,251.644
149.576,251.822
82.085,252.000
111.242,252.178
50.380,252.356
127.756,252.533
67.189,252.711
96.448,252.889
27.415,253.067
157.639,253.244
85.688,253.422
115.138,253.600
54.887,253.778
132.439,253.956
71.023,254.133
100.067,254.311
34.392,254.489
143.111,254.667
78.452,254.844
107.446,255.022
45.557,255.200
123.354,255.378
63.244,255.556
92.855,255.733
18.159,255.911
162.951,256.089
87.481,256.267
117.133,256.444
57.047,256.622
134.915,256.800
72.906,256.978
101.891,257.156
37.444,257.333
146.207,257.511
80.273,257.689
109.333,257.867
48.014,258.044
125.525,258.222
65.232,258.400
94.649,258.578
23.228,258.756
153.323,258.933
83.890,259.111
113.176,259.289
52.667,259.467
130.057,259.644
69.118,259.822
98.254,260.000
31.080,260.178
140.224,260.356
76.618,260.533
105.578,260.711
42.992,260.889
121.235,261.067
61.220,261.244
91.063,261.422
11.054,261.600
166.332,261.778
88.377,261.956
118.143,262.133
58.108,262.311
136.193,262.489
73.840,262.667
102.808,262.844
38.893,263.022
147.852,263.200
81.181,263.378
110.284,263.556
49.208,263.733
126.632,263.911
66.214,264.089
95.548,264.267
25.402,264.444
155.392,264.622
84.789,264.800
114.153,264.978
53.785,265.156
131.237,265.333
70.073,265.511
99.159,265.689
32.773,265.867
141.645,266.044
77.536,266.222
106.510,266.400
44.290,266.578
122.288,266.756
62.237,266.933
91.959,267.111
15.023,267.289
160.124,267.467
86.585,267.644
116.131,267.822
55.974,268.000
133.664,268.178
71.967,268.356
100.978,268.533
35.946,268.711
144.630,268.889
79.364,269.067
108.387,269.244
46.798,269.422
124.432,269.600
64.242,269.778
93.752,269.956
