# beta(deg),gamma(deg)
92.331,131.917
87.669,131.917
96.961,228.105
83.039,228.105
96.961,131.895
83.039,131.895
138.537,183.519
41.463,183.519
138.537,176.481
41.463,176.481
138.136,190.459
41.864,190.459
138.136,169.541
41.864,169.541
105.508,227.045
74.492,227.045
105.508,132.955
74.492,132.955
101.498,227.976
78.502,227.976
101.498,132.024
78.502,132.024
109.554,226.093
70.446,226.093
109.554,133.907
70.446,133.907
130.304,211.614
49.696,211.614
130.304,148.386
49.696,148.386
113.564,225.115
66.436,225.115
113.564,134.885
66.436,134.885
138.572,196.455
41.428,196.455
138.572,163.545
41.428,163.545
118.094,224.583
61.906,224.583
118.094,135.417
61.906,135.417
90.000,231.516
90.000,128.484
134.190,210.284
45.810,210.284
134.190,149.716
45.810,149.716
128.926,217.252
51.074,217.252
128.926,142.748
51.074,142.748
141.853,180.000
38.147,180.000
99.184,231.432
80.816,231.432
99.184,128.568
80.816,128.568
138.541,202.670
41.459,202.670
138.541,157.330
41.459,157.330
122.728,223.771
57.272,223.771
122.728,136.229
57.272,136.229
107.771,230.499
72.229,230.499
107.771,129.501
72.229,129.501
142.201,193.917
37.799,193.917
142.201,166.083
37.799,166.083
116.357,229.266
63.643,229.266
116.357,130.734
63.643,130.734
138.188,208.894
41.812,208.894
138.188,151.106
41.812,151.106
127.407,222.893
52.593,222.893
127.407,137.107
52.593,137.107
92.331,234.905
87.669,234.905
92.331,125.095
87.669,125.095
145.006,184.064
34.994,184.064
145.006,175.936
34.994,175.936
96.839,234.884
83.161,234.884
96.839,125.116
83.161,125.116
101.378,234.842
78.622,234.842
101.378,125.158
78.622,125.158
105.885,234.777
74.115,234.777
105.885,125.223
74.115,125.223
137.537,214.948
42.463,214.948
137.537,145.052
42.463,145.052
109.964,234.001
70.036,234.001
109.964,125.999
70.036,125.999
132.037,221.945
47.963,221.945
132.037,138.055
47.963,138.055
145.803,190.922
34.197,190.922
145.803,169.078
34.197,169.078
142.196,207.214
37.804,207.214
142.196,152.786
37.804,152.786
125.588,228.331
54.412,228.331
125.588,131.669
54.412,131.669
114.474,233.859
65.526,233.859
114.474,126.141
65.526,126.141
146.182,198.059
33.818,198.059
146.182,161.941
33.818,161.941
94.500,238.283
85.500,238.283
94.500,121.717
85.500,121.717
136.494,220.627
43.506,220.627
136.494,139.373
43.506,139.373
119.026,233.674
60.974,233.674
119.026,126.326
60.974,126.326
103.500,238.283
76.500,238.283
103.500,121.717
76.500,121.717
149.299,187.400
30.701,187.400
149.299,172.600
30.701,172.600
146.136,205.197
33.864,205.197
146.136,154.803
33.864,154.803
123.533,233.447
56.467,233.447
123.533,126.553
56.467,126.553
140.586,220.019
39.414,220.019
140.586,139.981
39.414,139.981
112.500,238.283
67.500,238.283
112.500,121.717
67.500,121.717
134.787,226.871
45.213,226.871
134.787,133.129
45.213,133.129
145.606,212.535
34.394,212.535
145.606,147.465
34.394,147.465
128.261,233.149
51.739,233.149
128.261,126.851
51.739,126.851
152.247,180.000
27.753,180.000
92.367,242.315
87.633,242.315
92.367,117.685
87.633,117.685
96.878,242.340
83.122,242.340
96.878,117.660
83.122,117.660
149.982,203.068
30.018,203.068
149.982,156.932
30.018,156.932
101.433,242.389
78.567,242.389
101.433,117.611
78.567,117.611
121.500,238.283
58.500,238.283
121.500,121.717
58.500,121.717
144.709,219.314
35.291,219.314
144.709,140.686
35.291,140.686
153.243,188.406
26.757,188.406
153.243,171.594
